Date,Open,High,Low,Close,Volume,weekday,is_monday,is_friday,week,year,sma_20,sma_50,ema_50,ema_200,rsi,atr,adx,adx_prev,avg_volume_20,dist_ema50,rsi_slope,volatility,vol_contraction,breakout
2020-05-28,29.950000762939453,30.799999237060547,29.700000762939453,30.200000762939453,28673126.0,3,0,0,22,2020,28.617500019073493,26.592999992370604,27.074601184306164,25.533044935895756,65.65226129604554,1.6358672415292448,1144.0184889914235,1105.162378478592,23420435.65,0.11543658786911075,6.202265690509186,0.05416778808617557,True,False
2020-05-29,28.89999961853028,30.450000762939453,28.89999961853028,30.14999961853028,29732816.0,4,0,1,22,2020,28.614999961853034,26.701999969482422,27.19520504447182,25.57898478348416,65.39559588873433,1.629733948877811,1180.0991630390527,1144.0184889914235,22538331.15,0.10865130706779152,4.498062550896385,0.05405419467654559,True,False
2020-06-01,30.700000762939453,31.64999961853028,30.299999237060547,30.5,29781118.0,0,1,0,23,2020,28.547499942779545,26.720999984741212,27.324804846649396,25.62795010902163,66.38621859502678,1.6204672382436818,1025.3196096721886,1180.0991630390527,22241214.9,0.11620193341435521,9.017427780362588,0.053130073385038744,True,False
2020-06-02,30.799999237060547,31.39999961853028,30.049999237060547,31.100000381469727,27935407.0,1,0,0,23,2020,28.659999942779546,26.797999992370606,27.47285173036784,25.682398370439024,68.07353094519067,1.6011481770455427,881.5957386886721,1025.3196096721886,22663169.85,0.13202665259145716,7.619977110046307,0.051483863582186734,True,False
2020-06-03,31.5,32.0,30.75,30.950000762939453,21651428.0,2,0,0,23,2020,28.787500000000005,26.851000022888183,27.609210515958882,25.734812324593257,67.16581551604159,1.5760661643994325,777.6781835525941,881.5957386886721,22785414.25,0.12100274453880175,2.9480017780851426,0.05092297659283634,True,False
2020-06-04,31.0,31.549999237060547,30.100000381469727,31.100000381469727,27576912.0,3,0,0,23,2020,28.925000000000004,26.93700004577637,27.746104236174993,25.788197280383073,67.63064130833465,1.5670613566273888,681.183310926236,777.6781835525941,23510855.65,0.12087809217273714,1.978380012289108,0.05038782435388936,True,False
2020-06-05,31.5,33.79999923706055,31.299999237060547,33.400001525878906,59692433.0,4,0,1,23,2020,29.17500009536743,27.101000061035155,27.96782569851632,25.8639366261094,73.76383772799953,1.6479854636962052,704.7915646738604,681.183310926236,25991235.7,0.19422946516899806,8.368241839265195,0.04934087989245501,True,True
2020-06-08,34.349998474121094,35.099998474121094,32.29999923706055,32.70000076293945,48035123.0,0,1,0,24,2020,29.39000015258789,27.221000061035156,28.1534011912388,25.931957164784325,69.45078206080136,1.7302721617936583,688.0124972404332,704.7915646738604,27897496.7,0.16149379397596667,3.064563465774583,0.05291352053283932,True,False
2020-06-09,33.099998474121094,34.0,31.850000381469727,32.150001525878906,32609739.0,1,0,0,24,2020,29.57750024795532,27.405000076293945,28.31013061612665,25.993828252954422,66.17666147396207,1.7602526944177022,672.4319346236794,688.0124972404332,29069326.2,0.1356359305373499,-1.896869471228598,0.054751247616607414,True,False
2020-06-10,32.0,32.150001525878906,31.200000762939453,31.600000381469727,22449990.0,2,0,0,24,2020,29.775000286102294,27.60100009918213,28.43914511672834,26.04961106020333,62.9792312583881,1.7023775564549701,657.9642693366936,672.4319346236794,29591659.65,0.11114452462504305,-4.186584257653493,0.05387270683241023,True,False
2020-06-11,31.600000381469727,32.04999923706055,29.799999237060547,30.0,25533048.0,3,0,0,24,2020,29.837500286102294,27.763000106811525,28.50035511215076,26.088918412838126,54.699425270255354,1.7414934452796151,644.530008713064,657.9642693366936,29918710.0,0.05261846324188028,-12.931216038079292,0.058049781509320504,False,False
2020-06-12,28.350000381469727,30.5,28.350000381469727,30.350000381469727,22376269.0,4,0,1,24,2020,29.94750032424927,27.934000129699708,28.572890220751507,26.13131723839665,56.06028437134333,1.7706724576546622,632.0553381339794,644.530008713064,30551787.7,0.06219567383587837,-17.7035533566562,0.058341760639177814,False,False
2020-06-15,29.950000762939453,30.25,28.950000762939453,29.299999237060547,19196051.0,0,1,0,25,2020,29.94500026702881,28.098000106811522,28.601404299822452,26.16284641251271,51.10073169926543,1.7441958262886343,647.3064101028626,632.0553381339794,29181057.0,0.024425197095739516,-18.350050361535928,0.0595288693414866,False,False
