Date,Open,High,Low,Close,Volume,weekday,is_monday,is_friday,week,year,sma_20,sma_50,ema_50,ema_200,rsi,atr,adx,adx_prev,avg_volume_20
2020-03-12,27.0,27.350000381469727,24.5,24.700000762939453,46930309.0,3,0,0,11,2020,37.51500015258789,43.90000015258789,40.87549779244575,42.98218922540524,18.81015500770917,2.2480997524416044,-24631.62988419396,-26491.250173639794,27370464.35
2020-03-13,22.799999237060547,30.450000762939453,21.399999618530277,29.549999237060547,65612481.0,4,0,1,11,2020,36.70000019073486,43.63300010681152,40.43136059419535,42.848535593680424,35.38601309651733,2.7339498518678598,-22855.70823793045,-24631.62988419396,29852045.35
2020-03-16,27.049999237060547,28.600000381469727,25.149999618530277,27.25,34355890.0,0,1,0,12,2020,35.79750022888184,43.233000106811524,39.9144444924622,42.69332628429057,32.04481064971195,2.8529534066294606,-21269.0916200843,-22855.70823793045,30817139.45
2020-03-17,27.600000381469727,30.700000762939453,27.049999237060547,28.299999237060547,45328423.0,1,0,0,12,2020,35.01750011444092,42.86600006103516,39.458976051073904,42.55010909974102,35.05943494546665,2.9098854151472784,-19653.03123485991,-21269.0916200843,32207729.35
2020-03-18,28.649999618530277,29.100000381469727,25.350000381469727,26.799999237060547,46500808.0,2,0,0,12,2020,34.21750011444092,42.50600006103516,38.96254558777926,42.39339158866957,32.81952857264085,2.9698935997796156,-18152.403734294407,-19653.03123485991,32896837.35
2020-03-19,25.049999237060547,26.549999237060547,24.799999237060547,25.200000762939453,41256977.0,3,0,0,12,2020,33.38000011444092,42.100000076293945,38.422837947589464,42.222313072990666,30.575581200697627,2.9006154855096433,-16758.963912340725,-18152.403734294407,33763954.6
2020-03-20,25.5,27.0,25.299999237060547,26.700000762939453,37279836.0,4,0,1,12,2020,32.632500076293944,41.69800010681152,37.96311884230907,42.06786220423394,35.05848209580938,2.8220000391918507,-15049.329663055742,-16758.963912340725,34185190.3
2020-03-23,24.700000762939453,25.299999237060547,22.75,22.950000762939453,12934460.0,0,1,0,13,2020,31.67250003814697,41.1860001373291,37.37436911370634,41.877634727206136,29.86626857786466,2.9025715194595367,-13461.812145862543,-15049.329663055742,33639410.6
2020-03-24,24.700000762939453,24.700000762939453,21.649999618530277,21.799999237060547,36469248.0,1,0,0,13,2020,30.8,40.62400009155274,36.76360951070062,41.677857259642494,28.473582054746416,2.9131022069559394,-11987.688737040286,-13461.812145862543,34324992.85
2020-03-25,21.200000762939453,22.350000381469727,21.149999618530277,21.899999618530277,28770327.0,2,0,0,13,2020,29.932499980926515,40.06200008392334,36.18072284826257,41.48106265624834,28.784563495149953,2.7907378180976186,-10618.859857419618,-11987.688737040286,34656654.45
