Date,Open,High,Low,Close,Volume,weekday,is_monday,is_friday,week,year,sma_20,sma_50,ema_50,ema_200,rsi,atr,adx,adx_prev,avg_volume_20
2020-03-12,22.049999237060547,22.25,20.799999237060547,21.88333320617676,71924844.0,3,0,0,11,2020,25.909166431427003,29.783999557495118,28.53319110766804,31.76593821997561,24.12190163683539,1.25096453973736,-588.1843910132229,-608.7200618116234,38359944.9
2020-03-13,20.0,23.51666641235352,20.0,23.299999237060547,65882406.0,4,0,1,11,2020,25.67416639328003,29.582332916259766,28.32796789705598,31.681700021140635,35.100529246414254,1.4128003877813715,-507.49667515030404,-588.1843910132229,40472603.1
2020-03-16,22.833332061767575,23.316665649414062,21.66666603088379,21.966665267944336,41016261.0,0,1,0,12,2020,25.35249967575073,29.33399959564209,28.078505048855526,31.585033008671022,30.611320258799253,1.4297431899777218,-502.47834797520886,-507.49667515030404,41261164.5
2020-03-17,22.0,23.799999237060547,21.950000762939453,23.233333587646484,37733433.0,1,0,0,12,2020,25.129999732971193,29.125666236877443,27.888498324886545,31.50193152189466,38.64009847336202,1.4597614245593913,-532.7481294278125,-502.47834797520886,41715497.7
2020-03-18,23.299999237060547,26.716665267944336,22.38333320617676,24.933332443237305,98464686.0,2,0,0,12,2020,25.026666355133056,28.977999572753905,27.77260946678265,31.43657232708215,47.43147762382183,1.6650164700742616,-472.63847619366044,-532.7481294278125,44798225.55
2020-03-19,23.01666641235352,24.16666603088379,20.966665267944336,21.51666641235352,60526506.0,3,0,0,12,2020,24.722499656677247,28.765999603271485,27.52727836660896,31.337866795592316,36.204290093026174,1.8294200918755978,-416.8223696190907,-472.63847619366044,45541726.2
2020-03-20,21.66666603088379,24.0,21.5,23.76666641235352,55460706.0,4,0,1,12,2020,24.4991662979126,28.60499961853027,27.37980338801071,31.26253146839591,45.37423137911237,1.8773186567416267,-354.98741489470524,-416.8223696190907,46855961.55
2020-03-23,21.683332443237305,22.549999237060547,19.049999237060547,19.816665649414062,24523071.0,0,1,0,13,2020,24.047499561309813,28.354666290283202,27.083209751203,31.14864225626674,35.67849231513435,2.08012926520958,-297.569242650633,-354.98741489470524,46174348.35
2020-03-24,20.66666603088379,21.16666603088379,18.66666603088379,19.483333587646484,27422100.0,1,0,0,13,2020,23.655832958221435,28.096332931518553,26.785175391847844,31.032569533195893,34.99883527187329,2.1101200319803244,-244.25236842399445,-297.569242650633,46265838.9
2020-03-25,19.26666641235352,21.11666679382324,18.86666679382324,20.899999618530277,18227226.0,2,0,0,13,2020,23.32583293914795,27.860999641418456,26.554384185051077,30.93174794200519,40.21167960715696,2.120111458267444,-187.24867658172016,-244.25236842399445,46325158.65
2020-03-26,21.083332061767575,22.816665649414062,20.36666679382324,22.450000762939453,37021584.0,3,0,0,13,2020,23.109999656677246,27.644333000183106,26.39342797241925,30.84735244768613,45.37353611742118,2.1436748437905426,-154.94401841032658,-187.24867658172016,47199355.65
