Date,Open,High,Low,Close,Volume,weekday,is_monday,is_friday,week,year,ema_50,ema_200,rsi,atr,adx,sma_20,sma_50,adx_prev,volume_sma20,avg_volume_20
2020-08-06,953.5,974.4000244140624,942.5,970.8499755859376,10976491.0,3,0,0,32,2020,831.5819663549457,738.8562744364804,72.97888205560099,27.787882815366185,-19.00145802845708,912.1100006103516,798.7300012207031,-37.10601283362686,18163090.55,18163090.55
2020-08-07,969.4500122070312,969.4500122070312,949.0,950.9000244140624,8010948.0,4,0,1,32,2020,836.2611058866759,740.9661624959588,66.05415037700334,27.363746584692716,-0.0660629715125225,920.5625030517579,803.9280017089844,-19.00145802845708,18303315.35,18303315.35
2020-08-10,948.9000244140624,956.7999877929688,945.2999877929688,951.3499755859376,5716319.0,0,1,0,33,2020,840.7743948944901,743.0595337704859,66.1322054068882,26.23062182864324,17.516803867078853,928.2775024414062,808.9640014648437,-0.0660629715125225,18048896.9,18048896.9
2020-08-11,949.9000244140624,962.0,946.0999755859376,948.4500122070312,6802442.0,1,0,0,33,2020,844.9969681224329,745.1032201230885,65.09333224832966,25.492722013316037,33.00668510215133,936.5375030517578,813.7710021972656,17.516803867078853,17940927.9,17940927.9
2020-08-12,948.0,958.7999877929688,942.2000122070312,954.9500122070312,6908726.0,2,0,0,33,2020,849.3088522041819,747.1912479050184,66.36859608086013,24.857525839931856,47.39014624900434,942.7375030517578,818.8390026855469,33.00668510215133,16783334.25,16783334.25
2020-08-13,954.7999877929688,968.5,948.25,951.2000122070312,5097703.0,3,0,0,33,2020,853.3045839689996,749.2211858582723,64.8955737806582,24.528416851365296,59.32687638431171,944.7475036621094,823.7080029296875,47.39014624900434,12516613.95,12516613.95
2020-08-14,955.8499755859376,963.0,952.0499877929688,953.5999755859376,4663873.0,4,0,1,33,2020,857.2377365814286,751.2548056565576,65.42447372401818,23.619243347194118,71.90572141751878,947.2700012207031,828.7090026855469,59.32687638431171,11165663.7,11165663.7
2020-08-17,954.0999755859376,972.4500122070312,954.0999755859376,957.5,9008210.0,0,1,0,34,2020,861.1695900488236,753.3069966450496,66.31270323497668,23.27858572390123,82.12298273961723,948.4300018310547,833.4420031738281,71.90572141751878,10695021.55,10695021.55
2020-08-18,963.9000244140624,969.2000122070312,958.7000122070312,967.5499877929688,6141761.0,1,0,0,34,2020,865.3413703525156,755.4387677012478,68.55450750442452,22.45154475841052,93.54767424967041,949.9700012207031,838.4410034179688,82.12298273961723,10358220.4,10358220.4
2020-08-19,970.9000244140624,971.5499877929688,957.4500122070312,959.2999877929688,6622744.0,2,0,0,34,2020,869.0260220168472,757.4672375529068,64.74548022009259,21.855004103233878,103.69730165390823,952.0399993896484,843.3100036621094,93.54767424967041,9971647.55,9971647.55
2020-08-20,958.9000244140624,965.5,951.2999877929688,955.1500244140624,5656501.0,3,0,0,34,2020,872.4034338755615,759.434230456998,62.85364403006274,21.308218967790832,113.12195567212906,954.4,848.33400390625,103.69730165390823,9601907.25,9601907.25
2020-08-21,963.0499877929688,963.4500122070312,946.5499877929688,948.7999877929688,6513773.0,4,0,1,34,2020,875.3993771664402,761.3184668484007,59.96630354475166,20.993347928238812,121.87342011761983,955.6975006103515,853.46900390625,113.12195567212906,9017116.9,9017116.9
